iter	RMSE
168	18318.27252
169	18280.94732
170	18249.42846
171	18219.23766
172	18179.95128
173	18168.64994
174	18144.02084
175	18109.45021
176	18079.77435
177	18010.41816
178	17976.9054
179	17936.95394
180	17882.31908
181	17859.0322
182	17812.39616
183	17798.31322
184	17778.59327
185	17756.03645
186	17736.18349
187	17711.09934
188	17689.21198
189	17676.66346
190	17659.82173
191	17594.89002
192	17564.56946
193	17548.6119
194	17536.5434
195	17476.68554
196	17442.63084
197	17413.54956
198	17371.3719
199	17330.17793
200	17296.55839
201	17245.87483
202	17223.84294
203	17204.68699
204	17157.38605
205	17121.43765
206	17083.10139
207	17045.76912
208	17033.39497
209	16985.50476
210	16943.8799
211	16904.66947
212	16862.77748
213	16848.35919
214	16828.75408
215	16814.47664
216	16749.19519
217	16698.96299
218	16688.72913
219	16671.24305
220	16652.84486
221	16630.71418
222	16609.40699
223	16591.5779
224	16567.96345
225	16551.4516
226	16497.876
227	16481.15098
228	16451.23508
229	16426.66159
230	16387.39715
231	16369.92822
232	16346.23711
233	16329.53602
234	16301.82132
235	16261.62569
236	16252.11014
237	16226.84835
238	16192.15455
239	16177.56592
240	16153.0752
241	16131.33573
242	16098.29089
243	16078.05704
244	16055.72699
245	16032.13447
246	15997.232
247	15974.52395
248	15951.28606
249	15922.11501
250	15885.1576
251	15853.93342
252	15842.37192
253	15833.84555
254	15788.88551
255	15761.61901
256	15755.3889
257	15746.17246
258	15736.37501
259	15695.65241
260	15684.25291
261	15646.79902
262	15615.22977
263	15578.38926
264	15574.27475
265	15567.2711
266	15514.13369
267	15474.94158
268	15460.79206
269	15442.77771
270	15436.35374
271	15416.44542
272	15391.59079
273	15387.83497
274	15356.86851
275	15324.89475
276	15299.7983
277	15265.40114
278	15256.31809
279	15219.44281
280	15172.05678
281	15153.22487
282	15127.83064
283	15106.96217
284	15070.87351
285	15064.42672
286	15054.69438
287	15011.00822
288	14986.7261
289	14956.78964
290	14930.8326
291	14907.29384
292	14872.70431
293	14863.76256
294	14838.43063
295	14814.00373
296	14801.24105
297	14774.27579
298	14749.35472
299	14707.3871
300	14683.04792
301	14652.97223
302	14616.97154
303	14594.80586
304	14567.41112
305	14541.42678
306	14511.92875
307	14503.72895
308	14473.15885
309	14444.84928
310	14416.5885
311	14395.15944
312	14358.05604
313	14334.36998
314	14314.56499
315	14287.60216
316	14266.45569
317	14246.88531
318	14209.48351
319	14182.7105
320	14162.50274
321	14134.10307
322	14109.4028
323	14085.95504
324	14064.37622
325	14047.29744
326	14028.48676
327	14010.7707
328	13985.70488
329	13959.4193
330	13934.48547
331	13910.61046
332	13890.49288
333	13866.40497
334	13840.76876
335	13828.26707
336	13802.29097
337	13786.73163
338	13764.84255
339	13745.63767
340	13723.68426
341	13698.94498
342	13679.9003
343	13670.48247
344	13668.26775
345	13645.21596
346	13613.13621
347	13599.19917
348	13588.88469
349	13567.2923
350	13543.97357
351	13526.93214
352	13524.8332
353	13503.29007
354	13484.72925
355	13461.09413
356	13442.53908
357	13426.40164
358	13401.23053
359	13377.32393
360	13359.71374
361	13334.48958
362	13323.69907
363	13296.91487
364	13272.44741
365	13243.29154
366	13227.5512
367	13200.05376
368	13178.6644
369	13163.45381
370	13161.56268
371	13135.0294
372	13113.19094
373	13111.30585
374	13075.28549
375	13048.88136
376	13025.92823
377	13003.95063
378	12984.75321
379	12962.8397
380	12942.50036
381	12915.26815
382	12895.20023
383	12879.46108
384	12852.91616
385	12835.11561
386	12810.47536
387	12785.17386
388	12768.36894
389	12741.9596
390	12722.79961
391	12706.25037
392	12686.80422
393	12665.05919
394	12640.22598
395	12628.53321
396	12626.78132
397	12625.11205
398	12623.44428
399	12605.15228
400	12588.34684
401	12580.84774
402	12557.80001
403	12556.24452
404	12534.88653
405	12517.4754
406	12496.32392
407	12475.5049
408	12463.45448
409	12439.6045
410	12413.78339
411	12412.22508
412	12389.48431
413	12371.95383
414	12352.41796
415	12333.18818
416	12316.06214
417	12303.89323
418	12284.43399
419	12261.77999
420	12247.44494
421	12225.62536
422	12207.08226
423	12188.22159
424	12165.53002
425	12139.59481
426	12123.75834
427	12122.31123
428	12120.89948
429	12099.72744
430	12074.56205
431	12047.85259
432	12031.03244
433	12029.88735
434	12028.48168
435	12009.37858
436	11986.66297
437	11975.97689
438	11974.66446
439	11959.12698
440	11938.53128
441	11920.47058
442	11919.15416
443	11905.32199
444	11886.55854
445	11885.2645
446	11869.59589
447	11841.73831
448	11832.19541
449	11813.94341
450	11808.32154
451	11798.07332
452	11781.23372
453	11758.67035
454	11757.47118
455	11734.2939
456	11718.46147
457	11695.80012
458	11671.45346
459	11655.98185
460	11638.33312
461	11620.34792
462	11597.57564
463	11576.79958
464	11552.96339
465	11526.9589
466	11504.60032
467	11503.4239
468	11502.21631
469	11501.03382
470	11485.04531
471	11483.93064
472	11466.24203
473	11454.21419
474	11433.82356
475	11412.87409
476	11399.95572
477	11387.7555
478	11361.79179
479	11347.42362
480	11346.28325
481	11334.77515
482	11310.62153
483	11294.5162
484	11271.70199
485	11251.13812
486	11238.01413
487	11221.23197
488	11201.95856
489	11188.58831
490	11170.7306
491	11158.53657
492	11133.31137
493	11132.18491
494	11117.0108
495	11115.90553
496	11114.85762
497	11110.13743
498	11095.43488
499	11092.96161
500	11082.39097
501	11066.20021
502	11041.55796
503	11028.55319
504	11027.53946
505	11007.40909
506	10994.52726
507	10993.53903
508	10992.63556
509	10978.17894
510	10957.97777
511	10938.68019
512	10917.31967
513	10905.55536
514	10892.37504
515	10872.71529
516	10851.32763
517	10836.71737
518	10835.75671
519	10823.36701
520	10808.47368
521	10778.20992
522	10760.19236
523	10734.86333
524	10722.24128
525	10710.40017
526	10693.07453
527	10681.33734
528	10665.6653
529	10651.99208
530	10632.8409
531	10614.54095
532	10606.14555
533	10590.50956
534	10575.48533
535	10558.49052
536	10534.74236
537	10517.4806
538	10501.77101
539	10500.31143
540	10487.19376
541	10469.80203
542	10450.95582
543	10430.68152
544	10429.89532
545	10414.19118
546	10400.71774
547	10379.45106
548	10376.71859
549	10365.37134
550	10355.24182
551	10354.49065
552	10343.4706
553	10328.85757
554	10315.21084
555	10314.33429
556	10300.52941
557	10287.85607
558	10272.03628
559	10262.7933
560	10245.57493
561	10231.17775
562	10216.10498
563	10215.05293
564	10204.32468
565	10190.74093
566	10189.3305
567	10174.39807
568	10157.51274
569	10156.75902
570	10144.8567
571	10133.2642
572	10118.40026
573	10105.52975
574	10084.99024
575	10083.67339
576	10069.34106
577	10050.54797
578	10033.70473
579	10017.99715
580	10002.20526
581	9990.679344
582	9978.547048
583	9966.252812
584	9952.950217
585	9939.314078
586	9927.159925
587	9915.028605
588	9901.764544
589	9892.702313
590	9883.673813
591	9871.399265
592	9856.901061
593	9856.116012
594	9848.927089
595	9838.851942
596	9825.387429
597	9810.657328
598	9809.896064
599	9798.850341
600	9791.018807
601	9775.775294
602	9759.75878
603	9745.260396
604	9744.540741
605	9730.042718
606	9719.778892
607	9704.488134
608	9694.458849
609	9677.362403
610	9672.146976
611	9654.975925
612	9639.653106
613	9625.945646
614	9616.755665
615	9608.328721
616	9594.351351
617	9579.339597
618	9578.14324
619	9555.898679
620	9547.635798
621	9537.67614
622	9519.475546
623	9500.839537
624	9489.317003
625	9479.949348
626	9478.603617
627	9458.650245
628	9441.668498
629	9426.221753
630	9417.669014
631	9399.45847
632	9398.152716
633	9384.438525
634	9369.633867
635	9359.165722
636	9347.599787
637	9338.787089
638	9327.304859
639	9309.243701
640	9299.19731
641	9282.76276
642	9273.893671
643	9262.072289
644	9247.290743
645	9229.557967
646	9210.768515
647	9199.225996
648	9197.952164
649	9196.537516
650	9188.749565
651	9176.315055
652	9165.725331
653	9154.039285
654	9143.491964
655	9131.187674
656	9115.259438
657	9100.07279
658	9089.168116
659	9072.650746
660	9066.237722
661	9065.180928
662	9053.725523
663	9034.14959
664	9020.52189
665	9005.190032
666	8991.325608
667	8985.034603
668	8968.501776
669	8961.231417
670	8951.518434
671	8940.004038
672	8932.789767
673	8922.052439
674	8917.891616
675	8902.569283
676	8893.414551
677	8881.939733
678	8868.005711
679	8847.845919
680	8847.104797
681	8837.446002
682	8826.002914
683	8824.789197
684	8809.248897
685	8795.127067
686	8789.122321
687	8777.607622
688	8772.535275
689	8756.291878
690	8754.769945
691	8745.906655
692	8738.40412
693	8725.8142
694	8703.911745
695	8685.340497
696	8684.683163
697	8675.744041
698	8667.316824
699	8655.748709
700	8631.711458
701	8623.589506
702	8611.011333
703	8599.483862
704	8590.832522
705	8581.401142
706	8570.500317
707	8569.518848
708	8552.144644
709	8544.164934
710	8532.353387
711	8522.10106
712	8511.943064
713	8504.031216
714	8494.641507
715	8493.62547
716	8481.946308
717	8471.525775
718	8460.87398
719	8460.019118
720	8448.072104
721	8429.490059
722	8419.727125
723	8418.839826
724	8403.809646
725	8395.934545
726	8384.570384
727	8372.956872
728	8366.290305
729	8350.903951
730	8340.734008
731	8329.757599
732	8318.469485
733	8297.372542
734	8287.705465
735	8278.180973
736	8262.457152
737	8254.193265
738	8242.857224
739	8235.411447
740	8224.099551
741	8214.189608
742	8206.860584
743	8204.395156
744	8191.912977
745	8178.593932
746	8165.728383
747	8155.417254
748	8141.703332
749	8129.753582
750	8119.90077
751	8111.039442
752	8100.949227
753	8100.145316
754	8092.168049
755	8081.490527
756	8066.877799
757	8054.425547
758	8038.755988
759	8029.871803
760	8019.54813
761	8004.501615
762	7988.692251
763	7973.786427
764	7960.574624
765	7953.616342
766	7948.631935
767	7942.055064
768	7927.44137
769	7914.272839
770	7905.768919
771	7897.723598
772	7885.121141
773	7871.580781
774	7866.073475
775	7856.018184
776	7843.497061
777	7834.617992
778	7820.129902
779	7804.574677
780	7800.119439
781	7789.598986
782	7771.268859
783	7763.102826
784	7750.37572
785	7738.124929
786	7729.303393
787	7719.138676
788	7703.429792
789	7691.770965
790	7682.553637
791	7674.56099
792	7663.586704
793	7654.945881
794	7644.265702
795	7632.371369
796	7626.928578
797	7619.47777
798	7599.281531
799	7592.586168
800	7576.50275
801	7565.449772
802	7558.168834
803	7553.013501
804	7537.870898
805	7537.062957
806	7527.571558
807	7518.417365
808	7512.043906
809	7507.395218
810	7494.660882
811	7485.048872
812	7483.759798
813	7474.538289
814	7463.762395
815	7461.804092
816	7450.982384
817	7438.074969
818	7426.146195
819	7420.810092
820	7416.875905
821	7406.179765
822	7397.591419
823	7390.250448
824	7381.674303
825	7370.455171
826	7360.773906
827	7351.895437
828	7345.840071
829	7332.60577
830	7324.304078
831	7315.780661
832	7308.562758
833	7300.714093
834	7294.218673
835	7285.188947
836	7279.140517
837	7268.43037
838	7259.16905
839	7256.180537
840	7247.39226
841	7236.018719
842	7228.504854
843	7220.200979
844	7218.887541
845	7209.268147
846	7203.277958
847	7193.180796
848	7191.236519
849	7187.297663
850	7176.828827
851	7167.908794
852	7160.496368
853	7150.650794
854	7138.40105
855	7133.185865
856	7123.399366
857	7112.587907
858	7103.949135
859	7097.05989
860	7087.913208
861	7079.18075
862	7069.397673
863	7063.259579
864	7053.686759
865	7044.299251
866	7032.003545
867	7020.372169
868	7012.70664
869	7004.415243
870	6993.150372
871	6987.132972
872	6980.837783
873	6971.336372
874	6965.585007
875	6955.988238
876	6951.79067
877	6944.311275
878	6938.015824
879	6925.269518
880	6915.223467
881	6904.818759
882	6895.618394
883	6889.054971
884	6882.398985
885	6872.21138
886	6865.270327
887	6855.198867
888	6849.760487
889	6844.955795
890	6835.314408
891	6829.91908
892	6817.696018
893	6805.895603
894	6797.791986
895	6786.276574
896	6776.936525
897	6767.124124
898	6763.849695
899	6749.509074
900	6747.142321
901	6742.345741
902	6730.901984
903	6730.345996
904	6717.443977
905	6710.891781
906	6704.808854
907	6695.05199
908	6689.168102
909	6685.363206
910	6678.70597
911	6672.735177
912	6670.242751
913	6665.200935
914	6656.464367
915	6645.561606
916	6637.711012
917	6627.362952
918	6622.092473
919	6610.331534
920	6604.224131
921	6597.437332
922	6588.740789
923	6582.328979
924	6577.709388
925	6573.280196
926	6565.476857
927	6556.279028
928	6545.179799
929	6535.481543
930	6534.033531
931	6526.608362
932	6517.820369
933	6506.324436
934	6496.51968
935	6491.209574
936	6485.586619
937	6474.764801
938	6467.643807
939	6458.982305
940	6453.971315
941	6445.277589
942	6438.86084
943	6430.011901
944	6423.382041
945	6415.620119
946	6410.516258
947	6404.584965
948	6398.127568
949	6390.00947
950	6380.499739
951	6370.835487
952	6364.679936
953	6355.405233
954	6347.512431
955	6339.93276
956	6331.338385
957	6330.957263
958	6330.26657
959	6320.758542
960	6316.936786
961	6305.966543
962	6295.782961
963	6286.73164
964	6280.617941
965	6271.084624
966	6265.608962
967	6258.406702
968	6252.054635
969	6240.271676
970	6237.614103
971	6231.163792
972	6224.204909
973	6220.104389
974	6212.083036
975	6206.619813
976	6199.466879
977	6193.344598
978	6185.285803
979	6176.435029
980	6174.916504
981	6169.561237
982	6162.376954
983	6155.463207
984	6147.47093
985	6137.889779
986	6133.633342
987	6125.839644
988	6118.930619
989	6112.125409
990	6106.820663
991	6099.11927
992	6094.355784
993	6087.231091
994	6079.509536
995	6073.496216
996	6065.714422
997	6056.951273
998	6049.96226
999	6046.221682
