Learning rate set to 0.04175
100:	learn: 21982.5777371	total: 169ms	remaining: 1.5s
101:	learn: 21890.9102837	total: 170ms	remaining: 1.5s
102:	learn: 21808.6712327	total: 171ms	remaining: 1.49s
103:	learn: 21707.4258533	total: 172ms	remaining: 1.48s
104:	learn: 21602.2386142	total: 173ms	remaining: 1.48s
105:	learn: 21537.1590058	total: 174ms	remaining: 1.47s
106:	learn: 21475.3126049	total: 175ms	remaining: 1.46s
107:	learn: 21403.9143591	total: 176ms	remaining: 1.46s
108:	learn: 21321.6513657	total: 178ms	remaining: 1.45s
109:	learn: 21249.7394811	total: 179ms	remaining: 1.45s
110:	learn: 21184.2611784	total: 180ms	remaining: 1.44s
111:	learn: 21116.4207566	total: 181ms	remaining: 1.44s
112:	learn: 21034.9991226	total: 182ms	remaining: 1.43s
113:	learn: 20990.2244015	total: 183ms	remaining: 1.42s
114:	learn: 20918.0680507	total: 184ms	remaining: 1.42s
115:	learn: 20867.7713539	total: 186ms	remaining: 1.41s
116:	learn: 20803.9194499	total: 187ms	remaining: 1.41s
117:	learn: 20705.4907764	total: 188ms	remaining: 1.4s
118:	learn: 20646.9421135	total: 189ms	remaining: 1.4s
119:	learn: 20593.5760021	total: 191ms	remaining: 1.4s
120:	learn: 20519.0241688	total: 192ms	remaining: 1.39s
121:	learn: 20451.6547699	total: 193ms	remaining: 1.39s
122:	learn: 20378.6782219	total: 194ms	remaining: 1.39s
123:	learn: 20319.3303337	total: 196ms	remaining: 1.38s
124:	learn: 20275.7440427	total: 197ms	remaining: 1.38s
125:	learn: 20219.4273104	total: 198ms	remaining: 1.37s
126:	learn: 20154.9728187	total: 199ms	remaining: 1.37s
127:	learn: 20088.9137715	total: 200ms	remaining: 1.36s
128:	learn: 20019.4385091	total: 202ms	remaining: 1.36s
129:	learn: 19960.8619927	total: 203ms	remaining: 1.36s
130:	learn: 19923.6555048	total: 204ms	remaining: 1.35s
131:	learn: 19880.4963382	total: 205ms	remaining: 1.35s
132:	learn: 19830.6800653	total: 207ms	remaining: 1.35s
133:	learn: 19782.1216703	total: 208ms	remaining: 1.34s
134:	learn: 19744.6652594	total: 209ms	remaining: 1.34s
135:	learn: 19706.9266553	total: 210ms	remaining: 1.34s
136:	learn: 19652.8050158	total: 212ms	remaining: 1.33s
137:	learn: 19618.2839231	total: 213ms	remaining: 1.33s
138:	learn: 19567.8710954	total: 214ms	remaining: 1.32s
139:	learn: 19510.8543023	total: 215ms	remaining: 1.32s
140:	learn: 19446.2287690	total: 216ms	remaining: 1.32s
141:	learn: 19388.8281182	total: 218ms	remaining: 1.31s
142:	learn: 19343.7285519	total: 219ms	remaining: 1.31s
143:	learn: 19322.9366139	total: 220ms	remaining: 1.31s
144:	learn: 19261.9475568	total: 221ms	remaining: 1.3s
145:	learn: 19225.8227315	total: 222ms	remaining: 1.3s
146:	learn: 19185.9150158	total: 223ms	remaining: 1.3s
147:	learn: 19140.5626477	total: 225ms	remaining: 1.29s
148:	learn: 19101.7840315	total: 226ms	remaining: 1.29s
149:	learn: 19079.0728326	total: 227ms	remaining: 1.28s
150:	learn: 19010.2332584	total: 228ms	remaining: 1.28s
151:	learn: 18978.0513019	total: 230ms	remaining: 1.28s
152:	learn: 18923.2759494	total: 232ms	remaining: 1.28s
153:	learn: 18872.7174473	total: 233ms	remaining: 1.28s
154:	learn: 18831.3570495	total: 234ms	remaining: 1.27s
155:	learn: 18787.3490362	total: 235ms	remaining: 1.27s
156:	learn: 18740.9907960	total: 236ms	remaining: 1.27s
157:	learn: 18708.7429129	total: 237ms	remaining: 1.26s
158:	learn: 18688.0049045	total: 239ms	remaining: 1.26s
159:	learn: 18645.4549849	total: 240ms	remaining: 1.26s
160:	learn: 18596.9438575	total: 241ms	remaining: 1.25s
161:	learn: 18544.9391056	total: 242ms	remaining: 1.25s
162:	learn: 18508.9250032	total: 243ms	remaining: 1.25s
163:	learn: 18467.9081536	total: 244ms	remaining: 1.24s
164:	learn: 18442.3868172	total: 245ms	remaining: 1.24s
165:	learn: 18408.3095387	total: 247ms	remaining: 1.24s
166:	learn: 18384.7924275	total: 248ms	remaining: 1.24s
167:	learn: 18353.5215072	total: 249ms	remaining: 1.23s
168:	learn: 18318.2725231	total: 250ms	remaining: 1.23s
169:	learn: 18280.9473196	total: 251ms	remaining: 1.23s
170:	learn: 18249.4284589	total: 252ms	remaining: 1.22s
171:	learn: 18219.2376639	total: 253ms	remaining: 1.22s
172:	learn: 18179.9512846	total: 254ms	remaining: 1.22s
173:	learn: 18168.6499431	total: 255ms	remaining: 1.21s
174:	learn: 18144.0208351	total: 257ms	remaining: 1.21s
175:	learn: 18109.4502060	total: 258ms	remaining: 1.21s
176:	learn: 18079.7743534	total: 259ms	remaining: 1.2s
177:	learn: 18010.4181581	total: 260ms	remaining: 1.2s
178:	learn: 17976.9053982	total: 261ms	remaining: 1.2s
179:	learn: 17936.9539363	total: 262ms	remaining: 1.19s
180:	learn: 17882.3190779	total: 263ms	remaining: 1.19s
181:	learn: 17859.0321956	total: 264ms	remaining: 1.19s
182:	learn: 17812.3961603	total: 265ms	remaining: 1.18s
183:	learn: 17798.3132171	total: 266ms	remaining: 1.18s
184:	learn: 17778.5932682	total: 268ms	remaining: 1.18s
185:	learn: 17756.0364465	total: 269ms	remaining: 1.18s
186:	learn: 17736.1834861	total: 270ms	remaining: 1.17s
187:	learn: 17711.0993350	total: 271ms	remaining: 1.17s
188:	learn: 17689.2119806	total: 272ms	remaining: 1.17s
189:	learn: 17676.6634608	total: 273ms	remaining: 1.16s
190:	learn: 17659.8217341	total: 274ms	remaining: 1.16s
191:	learn: 17594.8900182	total: 275ms	remaining: 1.16s
192:	learn: 17564.5694647	total: 276ms	remaining: 1.16s
193:	learn: 17548.6119015	total: 277ms	remaining: 1.15s
194:	learn: 17536.5434047	total: 279ms	remaining: 1.15s
195:	learn: 17476.6855403	total: 280ms	remaining: 1.15s
196:	learn: 17442.6308401	total: 282ms	remaining: 1.15s
197:	learn: 17413.5495612	total: 284ms	remaining: 1.15s
198:	learn: 17371.3719048	total: 285ms	remaining: 1.15s
199:	learn: 17330.1779345	total: 286ms	remaining: 1.14s
200:	learn: 17296.5583885	total: 287ms	remaining: 1.14s
201:	learn: 17245.8748309	total: 288ms	remaining: 1.14s
202:	learn: 17223.8429385	total: 289ms	remaining: 1.14s
203:	learn: 17204.6869901	total: 290ms	remaining: 1.13s
204:	learn: 17157.3860495	total: 291ms	remaining: 1.13s
205:	learn: 17121.4376484	total: 292ms	remaining: 1.13s
206:	learn: 17083.1013866	total: 294ms	remaining: 1.12s
207:	learn: 17045.7691172	total: 295ms	remaining: 1.12s
208:	learn: 17033.3949697	total: 296ms	remaining: 1.12s
209:	learn: 16985.5047592	total: 297ms	remaining: 1.12s
210:	learn: 16943.8798965	total: 298ms	remaining: 1.11s
211:	learn: 16904.6694651	total: 299ms	remaining: 1.11s
212:	learn: 16862.7774843	total: 300ms	remaining: 1.11s
213:	learn: 16848.3591871	total: 302ms	remaining: 1.11s
214:	learn: 16828.7540753	total: 303ms	remaining: 1.1s
215:	learn: 16814.4766392	total: 304ms	remaining: 1.1s
216:	learn: 16749.1951903	total: 305ms	remaining: 1.1s
217:	learn: 16698.9629940	total: 306ms	remaining: 1.1s
218:	learn: 16688.7291303	total: 307ms	remaining: 1.09s
219:	learn: 16671.2430462	total: 308ms	remaining: 1.09s
